2010-10-01 00:42:18,2010-10-01 00:48:12,1.20
2010-10-01 00:55:49,2010-10-01 00:58:18,.90
2010-10-01 01:07:34,2010-10-01 01:16:43,1.60
2010-10-01 01:44:58,2010-10-01 01:53:41,2.20
2010-10-01 02:07:15,2010-10-01 02:20:01,5.60
2010-10-01 02:35:12,2010-10-01 02:40:23,1.60
2010-10-01 02:42:13,2010-10-01 02:45:17,1.10
2010-10-01 03:38:07,2010-10-01 04:00:50,11.60
2010-10-01 06:11:46,2010-10-01 06:46:58,10.00
2010-10-01 07:02:43,2010-10-01 07:33:06,4.90
2010-10-01 07:35:16,2010-10-01 08:04:49,4.70
2010-10-01 08:15:06,2010-10-01 08:26:07,1.70
2010-10-01 08:27:19,2010-10-01 09:37:03,12.50
2010-10-01 10:09:22,2010-10-01 10:40:32,4.20
2010-10-01 10:59:15,2010-10-01 11:06:00,1.00
2010-10-01 11:09:42,2010-10-01 11:16:11,.70
2010-10-01 11:19:23,2010-10-01 11:36:27,1.90
2010-10-01 11:37:51,2010-10-01 11:41:16,.80
2010-10-01 11:42:34,2010-10-01 11:47:23,.80
2010-10-01 11:50:48,2010-10-01 11:58:43,1.10
2010-10-01 12:03:42,2010-10-01 12:14:38,1.10
2010-10-01 12:16:00,2010-10-01 12:25:42,1.50
2010-10-01 12:29:16,2010-10-01 12:50:51,2.20
2010-10-01 14:13:01,2010-10-01 14:16:58,1.20
2010-10-01 14:48:13,2010-10-01 14:51:35,.40
2010-10-01 14:53:25,2010-10-01 14:56:44,.60
2010-10-01 14:57:52,2010-10-01 15:06:20,1.30
2010-10-01 15:09:31,2010-10-01 15:20:49,.80
2010-10-01 15:26:20,2010-10-01 15:54:58,5.60
2010-10-01 15:56:38,2010-10-01 16:15:06,3.30
2010-10-01 16:21:44,2010-10-01 16:26:53,.50
2010-10-01 16:29:15,2010-10-01 16:35:33,.90
2010-10-01 16:49:27,2010-10-01 16:50:54,.30
2010-10-01 16:53:55,2010-10-01 16:56:18,.50
2010-10-01 17:02:46,2010-10-01 17:23:39,2.10
2010-10-01 17:29:33,2010-10-01 17:42:03,2.60
2010-10-01 18:01:52,2010-10-01 18:13:11,1.50
2010-10-01 18:13:26,2010-10-01 18:33:23,3.60
2010-10-01 18:34:06,2010-10-01 18:41:33,1.60
2010-10-01 18:49:12,2010-10-01 19:00:32,3.40
2010-10-01 20:39:25,2010-10-01 20:48:08,2.50
2010-10-01 20:51:46,2010-10-01 21:30:01,4.60
2010-10-01 21:53:13,2010-10-01 22:05:43,3.10
2010-10-01 22:08:12,2010-10-01 22:12:24,1.10
2010-10-01 22:19:44,2010-10-01 22:30:33,3.30
2010-10-01 22:35:02,2010-10-01 22:46:51,1.90
2010-10-01 23:08:17,2010-10-01 23:11:39,1.30
2010-10-01 23:14:28,2010-10-01 23:19:24,1.00
2010-10-01 23:37:04,2010-10-02 00:01:42,6.40
2010-10-02 00:10:53,2010-10-02 00:21:12,1.20
2010-10-02 00:23:16,2010-10-02 00:27:48,.70
2010-10-02 00:29:08,2010-10-02 00:35:34,1.20
2010-10-02 00:54:35,2010-10-02 00:59:14,.90
2010-10-02 00:59:57,2010-10-02 01:04:00,1.30
2010-10-02 01:12:01,2010-10-02 01:14:35,.60
2010-10-02 01:16:26,2010-10-02 01:27:47,2.90
2010-10-02 01:29:12,2010-10-02 01:33:31,1.00
2010-10-02 01:34:14,2010-10-02 01:41:36,1.30
2010-10-02 01:42:13,2010-10-02 01:47:35,.50
2010-10-02 01:50:10,2010-10-02 01:59:42,2.30
2010-10-02 02:01:55,2010-10-02 02:10:48,2.50
2010-10-02 02:21:44,2010-10-02 02:29:51,3.30
2010-10-02 03:52:34,2010-10-02 04:03:22,4.50
2010-10-02 06:12:47,2010-10-02 06:13:13,.00
2010-10-02 06:16:54,2010-10-02 06:16:57,.00
2010-10-02 06:34:06,2010-10-02 06:42:42,2.40
2010-10-02 06:58:26,2010-10-02 07:18:05,16.20
2010-10-02 07:54:25,2010-10-02 07:58:48,.70
2010-10-02 08:05:24,2010-10-02 08:16:23,2.80
2010-10-02 08:23:31,2010-10-02 08:29:36,1.40
